"* Required Fields","* обязательные поля"
"Activate?","Включить?"
"Address","Улица, дом, квартира"
"Back","Вернуться"
"Checkout","Оформление заказа"
"City","Город"
"Company","Организация"
"Confirm Password","Пароль повторно"
"Continue","Продолжить"
"Country","Страна"
"Email Address","Электропочта"
"First Name","Имя"
"General","Основное"
"Last Name","Фамилия"
"Loading next step...","Подождите..."
"Password","Пароль"
"Patronymic","Отчество"
"Please select region, state or province","Укажите регион"
"Save in address book","сохранить в адресной книге"
"Select a billing address from your address book or enter a new address.","Плательщик"
"Ship to different address","Доставить по другому адресу"
"Ship to this address","Доставить по этому адресу"
"State/Province","Регион"
"Street Address","Улица, дом, квартира / офис"
"Telephone","Телефон"
"Zip/Postal Code","Почтовый индекс"
