"%s","%s"
"-- Please Select --","-- выберите значение --"
"Actions","Действия"
"Add Layout Update","Добавить обновление макета"
"Add New Widget Instance","добавить рабочий блок..."
"All","Все"
"All Pages","Все страницы"
"All Product Types","Все типы товаров"
"Anchor Categories","Товарные разделы с пошаговой фильтрацией"
"Assign to Store Views","Использовать на следующих витринах"
"Big Image","Большое изображение"
"Block Reference","Блок"
"CMS","CMS"
"Categories","Разделы"
"Choose...","Выбрать..."
"Close","Закрыть"
"Continue","Продолжить"
"Default Template","Стандартный шаблон"
"Delete","Удалить"
"Design Package/Theme","Пакет дизайна/Тема"
"Export to:","экспортировать в:"
"Frontend Properties","Настройки для витрины"
"Generic Pages","Стандартные страницы"
"Images","Изображения"
"Insert Widget","Вставить рабочий блок"
"Layout Updates","Обновления макета"
"Manage Widget Instances","Перечень рабочих блоков"
"New Instance","Новый экземпляр"
"New Widget Instance","Новый рабочий блок"
"Next page","Следующая страница"
"Non-Anchor Categories","Товарные разделы без пошаговой фильтрации"
"Not Selected","Не выбрано"
"Page","страница"
"Please Select Block Reference First","Укажите сначала блок"
"Previous page","Предыдущая страница"
"Products","Товары"
"Remove Layout Update","Удалить обновление макета"
"Save and Continue Edit","сохранить и остаться"
"Select All","выбрать все"
"Select Visible","выбрать видимые"
"Settings","Настройки"
"Sort Order","Порядок сортировки"
"Sort Order of widget instances in the same block reference","Порядок рабочих блоков"
"Specific %s","Определённый %s"
"Specified Page","Указанная страница"
"Template","Шаблон"
"The information in this tab has been changed.","Информация на этой вкладке была изменена."
"The widget instance has been deleted.","Рабочий блок удалён."
"The widget instance has been saved.","Рабочий блок сохранён."
"This tab contains invalid data. Please solve the problem before saving.","На этой вкладке содержатся неверные данные. Исправьте их перед сохранением."
"Thumbnail","Мини-изображение"
"Total %d records found","всего объектов: %d"
"Type","Тип"
"Unselect All","сбросить выбор"
"Unselect Visible","сбросить выбор с видимых"
"View","Выводить"
"Widget","Рабочий блок"
"Widget ""%s""","Рабочий блок «%s»"
"Widget ID","Номер рабочего блока"
"Widget Instance","Рабочий блок"
"Widget Instance Title","Заголовок рабочего блока"
"Widget Options","Параметры рабочего блока"
"Widget Type","Тип рабочего блока"
"Widget Type is not specified","Не указан тип рабочего блока"
"Widget instance is not full complete to create.","Рабочий блок ещё не готов для создания."
"Widgets","Рабочие блоки"
"Wrong wigdet instance specified.","Указан неверный рабочий блок."
"items selected","объектов выбрано"
"of %s pages","из %s"
"per page","на страницу"
